classworlds;commons-logging;1
jopt-simple;commons-cli;1
piccolo2d;json-path;1
backport-util-concurrent;maven;1
tomcat;commons-logging;1
jcommander;protobuf-java;1
oro;xmlParserAPIs;1
groovy;jedis;1
jaxen;commons-cli;1
log4j;plexus;1
openjpa;metadata-extractor;1
eclipselink;commons-codec;1
json-lib;subethasmtp;1
postgresql;commons-pool;1
freemarker;mockito;1
javolution;guava;1
zweb;hamcrest;1
guice;icu4j;1
commons-logging;org.restlet;1
smack;applejavaextensions;1
quartz;json-path;1
applejavaextensions;jcommon;1
jsyntaxpane;xom;1
commons-httpclient;gxt;1
oro;maven;1
tritonus_share;junit;1
db4o;wrapper;1
json-lib;json-simple;1
commons-lang;hadoop;1
xmlParserAPIs;appengine;1
jline;log4j;1
log4j;jline;1
jacorb;jgroups;1
httpclient;junit;1
xmlParserAPIs;jetty-mortbay;1
jsch;commons-math;1
jetty-mortbay;xmlParserAPIs;1
commons-pool;shared-i18n;1
tomcat;struts2;1
jsch;lambdaj;1
commons-lang;selenium;1
org.eclipse.jface;spring;1
heroku-api;amqp-client;1
webwork;stripes;1
commons-httpclient;infinispan;1
postgresql;slf4j;1
querydsl;wro4j;1
backport-util-concurrent;easymock;1
org.restlet;jetty-mortbay;1
org.eclipse.jdt.core;maven;1
lucene;commons-io;1
AppleJavaExtensions;ehcache;1
asm;guice;1
org.restlet;commons-cli;1
itext;geronimo;1
velocity;jackson;1
icu4j;commons-fileupload;1
mvel2;hamcrest;1
commons-vfs;backport-util-concurrent;1
commons-beanutils;hector;1
jwnl;commons-io;1
oro;saxon;1
maven;slf4j;1
jsecurity;netty;1
jboss;slf4j;1
jacorb;xerces;1
junit;commons-lang;1
aopalliance;commons-io;1
AppleJavaExtensions;swingx;1
mysql-connector-java;jpf;1
jcifs;javacc;1
spring;httpcore;1
concurrentlinkedhashmap-lru;jetty-mortbay;1
gwt-log;log4j;1
jdom;icu4j;1
testng;commons-logging;1
commons-logging;testng;1
xerces;commons-collections;1
struts2;pax;1
db4o;commons-httpclient;1
xmlsec;commons-codec;1
filters;swing-layout;1
jetty-mortbay;cxf;1
gunit;rsyntaxtextarea;1
lucene;httpmime;1
joda-time;velocity;1
aspectjweaver;jetty-mortbay;1
jetty-mortbay;aspectjweaver;1
commons-pool;org.eclipse.jdt.core;1
xstream;mockito;1
mysql-connector-java;commons-codec;1
hsqldb;jackson;1
reflections;slf4j;1
derby;shared-cursor;1
maven;http-client-experimental;1
async-http-client;pax;1
dbunit;postgresql;1
javassist;jdom;1
asm;slf4j;1
ant;maxent;1
commons-lang;inflector;1
sitemesh;slf4j;1
kahadb;commons-beanutils;1
spring;pax;1
axion;jmock;1
hsqldb;freemarker;1
freemarker;hsqldb;1
commons-logging;xmlunit;1
snakeyaml;hamcrest;1
hazelcast;activemq-ra;1
activemq-ra;hazelcast;1
joda-time;guice;1
commons-io;commons-codec;1
commons-configuration;commons-cli;1
solr;pdfbox;1
apacheds;json-lib;1
scale7-core;jcommander;1
shared-ldif;itext;1
grizzly;gson;1
lambdaj;sitemesh;1
sitemesh;lambdaj;1
tomcat;jetty-mortbay;1
mysql-connector-java;mockito;1
opencsv;commons-codec;1
struts2;ant;1
xwork-core;joda-time;1
